CaseNo,img_section A,img_section B,img_section C,img_section D,img_section E,img_section F,img_section G,img_section H,cost,CO2,install_duration
88,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,690861952.32,187.8264,347.9687
89,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.6.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,693720023.69,186.9332,349.0621
90,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,672861717.8900001,192.5413,372.7677
91,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,682848542.46,190.17950000000002,357.6589
92,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,685706613.83,189.2863,358.7523
93,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0c.png,679500846.3299999,190.9712,362.72350000000006
94,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0b.png,689487670.9,188.60940000000002,347.6147
95,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0b.png,section H.CRM.6.0a.png,692345742.27,187.71620000000001,348.70810000000006
96,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0c.png,681400859.97,190.3774,363.45040000000006
97,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0b.png,691387684.54,188.0156,348.3416
98,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.10.0b.png,section G.CRM.6.0a.png,section H.CRM.6.0a.png,694245755.91,187.1224,349.43500000000006
99,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0c.png,674151308.02,192.6759,373.0816
100,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0b.png,684138132.59,190.31410000000002,357.9728
101,section A.CRM.7.0c.png,section B.CRM.6.0b.png,section C.CRM.6.0b.png,section D.CRM.10.0b.png,section E.CRM.6.0b.png,section F.CRM.8.0b.png,section G.CRM.6.0c.png,section H.CRM.6.0a.png,686996203.96,189.42090000000002,359.0662
